50 Cent|60 Cent|1975-07-06
Leah Lewis|Lana Louis|1996-12-09
Leah Remini|Lena Rimine|1970-06-15
Leander Haußmann|Leandro Haußfrau|1959-06-26
Leanne Rowe|Liane Rude|1982
LeBron James|LeBrock Jones|1984-12-30
Lee Armstrong|Leo Armstark|1970-01-02
Lee Cormie|Lane Cormey|1992-02-08
Lee Cronin|Len Crosen|1982-01-24
Lee Frost|Len Frierst|1935-08-14 – 2007-05-25
Lee Grant|Lia Grunt|1927-10-31
Lee H. Katzin|Lee V. Katzeng|1935-04-12 – 2002-10-30
Lee Horsley|Leo Hersly|1955-05-15
Lee Isaac Chung|Li Isaac Chuang|1978-10-19
Lee J. Cobb|Leigh J. Gubb|1911-12-08 – 1976-02-11
Lee Majdoub|Lane Majdorn|1982-05-31
Lee Majors|Lou Minors|1939-04-23
Lee Marvin|Lane Mervin|1924-02-19 – 1987-08-29
Lee Meriwether|Leigh Merylether|1935-05-27
Lee Pace|Lane Pave|1979-03-25
Lee Remick|Len Reyick|1935-12-14 – 1991-07-02
Lee Richardson|Lou Robertson|1926-09-11 – 1999-10-02
Lee Sholem|Lou Sholan|1913-05-25 – 2000-08-19
Lee Strasberg|Lou Strassburg|1901-11-17 – 1982-02-17
Lee Tamahori|Len Tamogotchi|1950-06-17 – 2025-11-07
Lee Unkrich|Len Ulkreich|1967-08-08
Lee Van Cleef|Len Van Beef|1925-01-09 – 1989-12-16
LeeAnne Baker|LuzAnne Becker|1966-04-27
Leelee Sobieski|Leelah Sobrievski|1983-06-10
Leif Erickson|Leiv Erlandsen|1911-10-27 – 1986-01-29
Leif Green|Leiv Gray|
Leigh Janiak|Lee Janireck|1980-02-01
Leigh McCloskey|Liam McClennan|1955-06-21
Leigh Taylor-Young|Lee Tobler-Young|1945-01-25
Leigh Whannell|Lee Whontell|1977-01-17
Leila Hyams|Lila Hayms|1905-05-01 – 1977-12-04
Leland Orser|Leamon Orting|1960-08-06
Lelia Goldoni|Lana Goldara|1936-10-01 – 2023-07-22
Len Cariou|Les Coriaugh|1939-09-30
Len Wiseman|Lee Wiseguy|1973-03-04
Lena Endre|Lina Endahl|1955-07-08
Lena Farugia|Lina Farrogia|1951-06-01 – 2019-01-18
Lena Headey|Lina Headache|1973-10-03
Lena Meckel|Lisa Mickler|1992-12-07
Lena Olin|Leah Odin|1955-03-22
Lena Stolze|Leah Stulze|1956-08-08
Lena Waithe|Leah Waile|1984-05-17
Leni Deschner|Lana Dossler|2006
Lenny Kravitz|Larry Krevitz|1964-05-26
Lenore Kasdorf|Leona Kessdorf|1948-07-23
Leo Genn|Leon Gern|1905-08-09 – 1978-01-26
Leo McCarey|Leon McCorlay|1898-10-03 – 1969-07-05
Leo McKern|Lando McKorn|1920-03-16 – 2002-07-23
Leon Lai|Leo Lao|1966-12-11
Leon Robinson|Leo Robensen|1962-03-08
Leonard Conrads|Leonhard Constanz|
Leonard Freeman|Lennard Freimann|1920-10-31 – 1974-01-20
Leonard Harris|Leopold Harrels|1929-09-27 – 2011-08-28
Leonard Nimoy|Lennard O. Nymmer|1931-03-26 – 2015-02-27
Leonard Rossiter|Leopold Rosgitter|1926-10-21 – 1984-10-05
Leonardo Cimino|Leopoldo Cimoni|1917-11-04 – 2012-03-03
Leonardo DiCaprio|Lionardo DeCoupe|1974-11-11
Leonid Kravchuk|Lev Kravchenko|1934-01-10 – 2022-05-10
Leonie Tepe|Leona Tipi|1995-09-12
Leonor Varela|Liora Varena|1972-12-29
Leonor Watling|Leonie Wartzling|1975-07-28
Leonore von Berg|Leonora von Burg|
Leopoldo Trieste|Leonardo Tireste|1917-05-03 – 2003-01-25
Leora Dana|Leona Dani|1923-04-01 – 1983-12-13
Les Mayfield|Len Maifeld|1959-11-30
Les Tremayne|Len Trymaine|1913-04-16 – 2003-12-19
Lesley Ann Warren|Leslie Anne Warrick|1946-08-16
Lesley Manville|Leslie Manven|1956-03-12
Lesley-Anne Down|Leslie-Anne Dawn|1954-03-17
Leslie Banks|Lester Bunks|1890-06-09 – 1952-04-21
Leslie Bevis|Lacey Bavis|1957-02-13
Leslie Bibb|Lizzy Blub|1974-11-17
Leslie Caron|Lettice Carren|1931-07-01
Leslie Cheung|Lester Cheng|1956-09-12 – 2003-04-01
Leslie Easterbrook|Leslie Easterbruch|1949-07-29
Leslie Grace|Lacey Glory|1995
Leslie Graves|Lester Groves|1959-09-29 – 1995-08-23
Leslie H. Martinson|Lister H. Martersen|1915-01-16 – 2016-09-03
Leslie Hope|Leslie Hoff|1965-05-06
Leslie Howard|Lester Harvey|1893-04-03 – 1943-06-01
Leslie Jones|Lacey James|1967-09-07
Leslie Mann|Lizzie Mensch|1972-03-26
Leslie Nielsen|Lester Nelson|1926-02-11 – 2010-11-28
Leslie Odom Jr.|Lester Odan Jr.|1981-08-06
Leslie Uggams|Leisha Uggmess|1943-05-25
Lester Wiese|Leslie Wiesner|1928
Letitia Wright|Laetitia Wrong|1993-10-31
Letícia Román|Laetítia Romér|1941-08-12
Levan Gabriadze|Lior Gavreladze|1969-11-16
Levan Glonti|Lado Glenvi|
LeVar Burton|LaVar Blurty|1957-02-16
Leven Rambin|Lennon Ramblen|1990-05-17
Levi Brandl|Liam Brenzl|2008-07-10
Levy Easterly|Lenn Eastering|
Lew Ayres|Leo Ayles|1908-12-28 – 1996-12-30
Lewis Collins|Louis Cullings|1946-05-27 – 2013-11-27
Lewis Gilbert|Louis Gilford|1920-03-06 – 2018-02-23
Lewis Hamilton|Louis Hammerton|1985-01-07
Lewis MacDougall|Louis MacDuckwell|2002-06-05
Lewis Milestone|Louis Markstone|1895-09-30 – 1980-09-25
Lewis Seiler|Louis Seilmann|1890-09-30 – 1964-01-08
Lewis Tan|Louis Tao|1987-02-04
Lewis Teague|Louis Tiggu|1938-03-08
Lex Barker|Rex Parkow|1919-05-08 – 1973-05-11
Lex Medlin|Rex Medran|1969-03-30
Lex Scott Davis|Lux Scott Davids|1991-02-21
Lexa Doig|Lexey Doeg|1973-06-08
Lexi Belle|Lexa Bette|1987-08-05
Lezlie Deane|Lara Denton|1964-06-01
Li Gong|Lei Geng|1965-12-31
Li Ma|Lei Mu|1982-06-28
Lia McHugh|Lee McHuge|2005-11-18
Liam Aiken|Lionel Alkan|1990-01-07
Liam Cunningham|Lionel Curringham|1961-06-02
Liam Hemsworth|Lance Helmwerth|1990-01-13
Liam Lynch|Logan Lunch|1970-09-04
Liam McMahon|Lionel McMoham|
Liam Neeson|Lionel Niessen|1952-06-07
Liana Liberato|Leona Literati|1995-08-20
Liane Curtis|Leanne Cortis|1965-07-11
Liane Hielscher|Lorena Hilser|1935-11-09 – 2000-01-26
Libe Barer|Lobe Barren|1991-12-19
Libuše Koutná|Libuša Kovář|1931-12-24 – 1991-11-06
Libuše Šafránková|Libuša Šalánková|1953-06-07 – 2021-06-09
Licinia Lentini|Lucina Luntino|1959-03-04
Lien Deyers|Lynn Dreiers|1909-11-05 – 19xx
Lienhard Wawrzyn|Lennart Wawrzik|1951-04-02
Liesel Pritzker Simmons|Lisette Pritzen Summonds|1984-03-14
Liesl Tommy|Lotti Tomlin|
Liev Schreiber|Lev Scriber|1967-10-04
Ligia Branice|Lina Branette|1932-12-07 – 2022-09-06
Lihi Kornowski|Liha Kornelski|1992-11-24
Lil Dagover|Lin Dogave|1887-09-30 – 1980-01-24
Lil Jon|Lil Jan|1971-01-17
Lil Rel Howery|Lil Rol Howlery|1979-12-17
Lil' Kim|Lil' Kay|1974-07-11
Lila Kedrova|Leila Kardova|1918-10-09 – 2000-02-16
Lili Taylor|Lilli Saylor|1967-02-20
Lilia Skala|Linnea Skalier|1896-11-28 – 1994-12-18
Liliana Mumy|Liliane Murmy|1994-04-16
Liliane David|Liliana Davy|1937-09-29 – 2018-07-31
Liliane Rovère|Lucienne Rouver|1933-01-30
Lilith Johna|Lilit Jahno|2007
Lilla Crawford|Lina Crawlforth|2001-02-23
Lilli Carati|Lindy Carotti|1956-09-23 – 2014-10-20
Lilli Falk|Lotti Folk|2009
Lilli Palmer|Lindy Palmen|1914-05-24 – 1986-01-27
Lilli Schweiger|Lili Schwaetzer|1998-07-17
Lillian Adams|Lindy Ann Abrams|1922-05-13 – 2011-05-25
Lillian Gish|Lindy Ann Gosh|1893-10-14 – 1993-02-27
Lillo Brancato|Livio Broncati|1976-03-30
Lilly Singh|Lindy Seng|1988-09-26
Lilly Tschörtner|Lilli Tschünkner|1980-04-23
Lilly Wachowski|Lindy Wachowicz|1967-12-29
Lily Cole|Lilly Cold|1987-12-27
Lily Collins|Lilly Cullings|1989-03-18
Lily Frazer|Lucy Frayson|1988-09-17
Lily Gladstone|Lina Gladwyn|1986-08-02
Lily James|Lucy Jones|1989-04-05
Lily Sullivan|Lilly Sollivan|1993-09-08
Lily Tomlin|Lina Tommy|1939-09-01
Lily-Rose Depp|Lila-Rose Drops|1999-05-27
Lin Shaye|Lyn Shey|1943-10-12
Lin-Manuel Miranda|Lin-Michael Marinda|1980-01-16
Lina Larissa Strahl|Lina Lucinda Stroh|1997-12-15
Lina Leandersson|Lotta Liljandresen|1995-09-27
Lina Romay|Linda Romain|1954-06-25 – 2012-02-15
Lina Wertmüller|Lisa Würtmeier|1928-08-14 – 2021-12-09
Linda Blair|Leila Blare|1959-01-22
Linda Cardellini|Lindy Cordellani|1975-06-25
Linda Darnell|Lena Dornell|1923-10-16 – 1965-04-10
Linda Fiorentino|Lina Fioretti|1958-03-09
Linda Gray|Lindy Green|1940-09-12
Linda Hamilton|Linda Hammerton|1956-09-26
Linda Harrison|Lindy Harrelsen|1945-07-26
Linda Haynes|Lucy Hains|1947-11-04 – 2023-07-17
Linda Hunt|Leila Haunt|1945-04-02
Linda Kozlowski|Linda Katzlewski|1958-01-07
Linda May|Lina Maerz|
Linda Ronstadt|Lindy Robstatt|1946-07-15
Linden Ashby|Lindor Ashben|1960-05-23
Lindsay Anderson|Lyndsay Andresen|1923-04-17 – 1994-08-30
Lindsay Beamish|Lyndsay Beemit|
Lindsay Crouse|Leila Croiss|1948-05-12
Lindsay Frost|Lyndsay Frierst|1962-06-04
Lindsay Lohan|Leila Londsay|1986-07-02
Lindsay Wagner|Leila Walzer|1949-06-22
Lindy Booth|Lilli Boust|1979-04-02
Ling Bai|Lian Bao|1966-10-10
Ling Jia|Lian Jū|1982-04-29
Linh Dan Pham|Linh Duong Phan|1974-06-20
Linnea Quigley|Lilia Quackley|1958-05-27
Lino Ventura|Lino Fantura|1919-07-14 – 1987-10-22
Linus Roache|Lucas Roark|1964-02-01
Lionel Atwill|Lyndon Antbill|1885-03-01 – 1946-04-22
Lionel Barrymore|Liam Carrymoor|1878-04-28 – 1954-11-15
Lionel Jeffries|Liam Jerries|1926-06-10 – 2010-02-19
Lionel Murton|Liam Murlen|1915-06-02 – 2006-09-26
Lionel Stander|Liam Stendersen|1908-01-11 – 1994-11-30
Lisa Banes|Lina Bains|1955-07-09 – 2021-06-14
Lisa Barbuscia|Lucy Baluscia|1969-06-18
Lisa Bitter|Lena Bittrig|1984
Lisa Blount|Lina Bloum|1957-07-01 – 2010-10-25
Lisa Bonet|Lina Bunet|1967-11-16
Lisa Boyle|Lena Beule|1964-08-06
Lisa Charlotte Friederich|Lina Charlotte Friedermann|1983
Lisa Eichhorn|Lina Elmshorn|1952-02-04
Lisa Eilbacher|Lina Weilsbacher|1956-05-05
Lisa Fitz|Lisi Fatz|1951-09-15
Lisa Foster|Lina Foerster|1964
Lisa Hagmeister|Lina Hackmeister|1979
Lisa Harrow|Lina Horrowe|1943-08-25
Lisa Kudrow|Lina Kudos|1963-07-30
Lisa Lee|Lena Li|
Lisa Lu|Lucy Lo|1927-01-19
Lisa Maria Potthoff|Lina Marie Pottopf|1978-07-25
Lisa Marie Newmyer|Lena Marie Neumeyer|1968-08-27
Lisa Pelikan|Lucy Perlekan|1954-07-12
Lisa Rinna|Lina Rissa|1963-07-11
Lisa Ryder|Lucy Raider|1970-10-26
Lisa Spoonauer|Lina Spundauer|1972-12-06 – 2017-05-21
Lisa Stothard|Lina Stottharsh|1962-12-14
Lisa Wilcox|Lina Wixom|1964-04-27
Lisa Zane|Lina Zany|1961-04-05
Lisa-Marie Koroll|Lina-Marie Karall|1997-12-26
Lise Leplat Prudhomme|Lina Leport Proudhon|
Liselotte Pulver|Luiselotte Puder|1929-10-11
Lissy Tempelhof|Lotty Templerhoff|1929-04-17 – 2017-10-10
Little Richard|Little Ricky|1932-12-05 – 2020-05-09
Liu Hua|Lei Huen|1961-06-01
Liu Yifei|Ling Yefai|1987-08-25
Liv Lisa Fries|Liv Lise Fresk|1990-10-31
Liv Tyler|Liv Tyson|1977-07-01
Liv Ullmann|Liv Ullker|1938-12-16
Liya Tong|Lina Teng|1984-08-08
Liz Garbus|Lois Garven|1970-04-11
Liz Mikel|Lois Mikkal|1963-11-07
Liza Minnelli|Lucy Manilli|1946-03-12
Lizzie Brocheré|Lizzy Brochard|1985-03-22
Lizzy Caplan|Lizzie Chaplane|1982-06-30
LL Cool J|JJ Cold L|1968-01-14
Lloyd Bridges|Lloyd Bruckners|1913-01-15 – 1998-03-10
Lloyd Hughes|Lyle Hulls|1897-10-21 – 1958-06-06
Lloyd Nolan|Lloyd Nolayne|1902-08-11 – 1985-09-27
Lo Lieh|Li Loh|1939-06-29 – 2002-11-03
Loan Chabanol|Luann Chaballet|1982-12-30
Lochlyn Munro|Lochlyl Monrow|1966-02-12
Logan Lerman|Liam Lerson|1992-01-19
Logan Marshall-Grau|Liam Marshman-Grey|1976-11-01
Logan Miller|Liam Mueller|1992-02-18
Lois Chiles|Liz Chinks|1947-04-15
Lois Maxwell|Louis Maxgood|1927-02-14 – 2007-09-29
Lois Smith|Liz Swift|1930-11-03
Lois Wilson|Liz Wilton|1894-06-28 – 1988-03-03
Lola Dueñas|Lina Duelos|1971-10-06
Lola Kirke|Lona Knirke|1990-09-27
Lola Lane|Lila Lain|1906-05-21 – 1981-06-22
Lola Le Lann|Lara Le Rann|1996-02-09
Lola Petticrew|Lila Patticrow|1995-12-26
Lolita Davidovich|Lola T. Davidevecz|1961-07-15
Lone Scherfig|Lina Scherman|1959-05-02
Lonette McKee|Loraine McKay|1954-07-22
Loni Anderson|Luni Andresen|1945-08-05 – 2025-08-03
Loni Love|Luni Loaf|1971-07-14
Loni Sanders|Luni Sonders|1958-01-12
Lonny Kellner|Lorna Keller|1930-03-08 – 2003-01-22
Lonny Price|Lenny Preisz|1959-03-09
Loredana Nusciak|Loredana Nunziak|1942-05-03 – 2006-07-12
Lorelei Linklater|Loreley Linknever|1994
Lorella Cravotta|Lorinda Cravatto|1958-04-09
Loren Avedon|Leroy Avelen|1962-07-30
Loren Dean|Leroy Dane|1969-07-31
Lorenzo Semple Jr.|Lamberto Stempler Jr.|1923-03-27 – 2014-03-28
Loretta King Hadler|Larissa Koenig Hade|1917-08-20 – 2007-09-10
Loretta Lynn|Larissa Lienne|1932-04-14 – 2022-10-04
Loretta Young|Larissa Jung|1913-01-06 – 2000-08-12
Lori Cardille|Lorna Cardenner|1954-07-15
Lori Loughlin|Lauryn Laughlon|1964-07-28
Lori Martin|Lorna Marty|1947-04-18 – 2010-04-04
Lori Petty|Lauryn Pretty|1963-10-14
Lori Singer|Lorna Saenger|1957-11-06
Loris Sichrovsky|Laris Sichevsky|2006
Lorna Patterson|Lori Pottersen|1956-07-01
Lorna Raver|Lori Raving|1943-10-09 – 2025-05-12
Lorne Greene|Lorne Gruen|1915-02-12 – 1987-09-11
Lorraine Bracco|Loraine Brazzi|1954-10-02
Lorraine Gary|Lorena Gerry|1937-08-16
Lorraine Warren|Lauren Warrick|1927-01-31 – 2019-04-18
Loryn Locklin|Lauren Lockern|1968-11-03
Lothar Firmans|Luther Firmers|1896-11-10 – 1964-11-25
Lothar Matthäus|Luther Matthaiser|1961-03-21
Lotte Lenya|Lena Lottya|1898-10-18 – 1981-11-27
Lou Adler|Luke Adlig|1933-12-13
Lou Diamond Phillips|Luke Diamond Philberts|1962-02-17
Lou Ferrigno|Lou Ferragni|1951-11-09
Lou Jacobi|Luc Jakobo|1913-12-28 – 2009-10-23
Lou Taylor Pucci|Lee Taylor Pozzi|1985-07-27
Louane|Louna|1996-11-26
Louis Armstrong|Lewis Armstark|1901-08-04 – 1971-07-06
Louis C.K.|Léo C.L.|1967-09-12
Louis Calhern|Linus Calvert|1895-02-19 – 1956-05-12
Louis Clichy|Lucien Cliché|1977
Louis de Funès|Lou deFunniers|1914-07-31 – 1983-01-27
Louis Garrel|Lewis Gordel|1983-06-14
Louis Gossett Jr.|Lewis Losset Jr.|1936-05-27 – 2024-03-29
Louis Held|Léo Holdt|1996-02-17
Louis Herthum|Lewis Heardung|1956-07-05
Louis Jourdan|Lucas Joubert|1921-06-19 – 2015-02-14
Louis Klamroth|Linus Klampfrot|1989-10-28
Louis Koo|Linus Koen|1970-10-21
Louis Leterrier|Léo Leterrenoir|1973-06-17
Louis Lombardi|Lois Lambadi|1968-01-17
Louis Malle|Lucien Marlet|1932-10-30 – 1995-11-23
Louis Mandylor|Lucas Manniglore|1966-09-13
Louis Morneau|Lewis Mornelle|19xx
Louis Partridge|Lois Portrich|2003-06-03
Louis Pepe|Luca Peppi|1966
Louis Wolheim|Léo Wolmar|1880-03-28 – 1931-02-18
Louis Zorich|Lois Zorren|1924-02-12 – 2018-01-30
Louisa Horton|Lucia Holton|1920-09-20 – 2008-01-25
Louise Fletcher|Lucia Flaetscher|1934-07-22 – 2022-09-23
Louise Grinberg|Lucia Grinlen|1993-07-07
Louise Lasser|Lucy Lessert|1939-04-11
Louise Lombard|Lucy Lambert|1970-09-13
Lovena Börschmann Ziegler|Lovina Bürschler Zieglein|2007
Luana Walters|Luna Waters|1912-07-22 – 1963-05-19
Luc Besson|Lou Bescond|1959-03-18
Luc Jacquet|Lou Jacques|1967-12-05
Luc Roeg|Lou Rueg|
Luca Guadagnino|Lucio Guaranino|1971-08-10
Luca Marinelli|Lukas Maronalli|1984-10-22
Lucas Babin|Louis Babun|1979-07-30
Lucas Black|Linus Bleak|1982-11-29
Lucas Bravo|Louis Bravis|1988-03-26
Lucas Grabeel|Linus Gravil|1984-11-23
Lucas Hedges|Linus Hedgings|1996-12-12
Lucas Lowe|Louis Loeb|
Luchino Visconti|Luciano Vezconte|1906-11-02 – 1976-03-17
Luci Christian|Lara Christopher|1973-03-18
Luciana Paluzzi|Liliana Palvero|1937
Luciano Catenacci|Leonardo Cattaneo|1933-04-13 – 1990-10-04
Lucie Englisch|Lucy Spanglish|1902-02-08 – 1965-10-12
Lucie Fagedet|Louane Faradet|2000-12-05
Lucien Hubbard|Ludovic Huppert|1888-12-22 – 1971-12-31
Lucile Gauthier|Laure Garnier|
Lucile Watson|Lucia Walton|1879-05-27 – 1962-06-24
Lucille Barkley|Lucia Bentley|1925-11-03 – 1979-03-19
Lucinda Dickey|Lucia Thickey|1960-08-14
Lucinda Jenney|Lucia Jenrel|1954-04-23
Lucio Dalla|Luis Dalen|1943-03-04 – 2012-03-01
Lucio Fulci|Livio Funghi|1927-06-17 – 1996-03-13
Lucy Boynton|Lucie Boytown|1994-01-17
Lucy Cudden|Linda Cuddle|
Lucy Davis|Lizzie Davids|1973-02-17
Lucy Fry|Lucia Friel|1992-03-13
Lucy Gutteridge|Lucia Gitterudge|1956-11-28
Lucy Hale|Lisa Hail|1989-06-14
Lucy Lawless|Lucie Losslaw|1968-03-29
Lucy Liu|Lucie Lui|1968-12-02
Lucy Paez|Liza Pael|2008-09-20
Lucy Punch|Louise Pinch|1977-12-30
Ludacris|Lukidrous|1977-09-11
Ludger Pistor|Luther Pistell|1959-03-16
Ludi Lin|Ludo Lun|1984
Ludivine Sagnier|Lucienne Sagnol|1979-07-03
Luenell Campbell|Lyanell Cantwell|1959-03-12
Luigi Comencini|Lucio Comarelli|1916-06-08 – 2007-04-06
Luigi Cozzi|Lucio Cozzan|1947-09-07
Luigi Luciano|Lucio Lugiani|1980-03-07
Luigi Pistilli|Lucio Pastelli|1929-07-19 – 1996-04-21
Luis Buñuel|Leon Bañovel|1900-02-22 – 1983-07-29
Luis Guzmán|Lucio Gurán|1956-08-28
Luis Llosa|Louis Llora|1951-04-18
Luis Mandoki|Louis Manchuki|1954-08-17
Luis Noah Witte|Luca Noah Wuttke|
Luis Valdez|Lucio Velaz|1940-06-26
Luis Vorbach|Louis Vordach|2005
Luise Heyer|Luisa Heiny|1985-03-25
Lukas Gage|Luca Wage|1995-05-28
Lukas Podolski|Luca Pobolzki|1985-06-04
Luke Allen-Gale|Lou Alley-Gall|1984-11-06
Luke Bracey|Lou Braceit|1989-04-26
Luke Evans|Lou Evers|1979-04-15
Luke Greenfield|Lou Gruenfeld|1972-02-05
Luke Grimes|Lou Grimms|1984-01-21
Luke Hemsworth|Lou Helmwerth|1980-11-05
Luke Perry|Lou Percy|1966-10-11 – 2019-03-04
Luke Treadaway|Lou Treadalong|1984-09-10
Luke Wilson|Lou Wilton|1971-09-21
Lulu Wang|Lala Wong|1983-02-25
Lulu Wilson|Lila Wilton|2005-10-07
Luminița Gheorghiu|Lavinia Gheroni|1949-09-01 – 2021-07-04
Lun Deng|Lian Dong|1992-10-21
Lun “Allen“ Ai|Lin “Alan“ Ao|
Luna Schweiger|Luni Schwaetzer|1997-01-11
Lupita Nyong'o|Lupita Nyol'o|1983-03-01
Lupo Barbiero|Ludo Barbiani|
Luxia Jiang|Lumia Jeon|1986-12-25
Luàna Bajrami|Luna Bajrine|2001-03-14
Lydia Forson|Lyra Fosten|1984-10-24
Lynda Mason Green|Linda Mason Gray|
Lyndon B. Johnson|Lyndsay B. Jameson|1908-08-27 – 1973-01-22
Lynn Collins|Lien Cullings|1977-05-16
Lynn Lowry|Lien Lowly|1947-10-15
Lynn Redgrave|Lien Redcave|1943-03-08 – 2010-05-02
Lynn-Holly Johnson|Lia-Helen Jameson|1958-12-13
Lynne Frederick|Lynn Friedeman|1954-07-25 – 1994-04-27
Lynne Thigpen|Lydia Thigson|1948-12-22 – 2003-03-12
Lynsey Taylor Mackay|Lyndsy Taylor Macken|
Lyriq Bent|Lyquor Bandt|1979-07-15
Lysette Anthony|Lynnette Antonio|1963-09-26
Lyudmila Tselikovskaya|Lyudmila Tselinavskaya|1919-09-08 – 1992-07-04
Lyvia Bauer|Lydia Bacher|1949 – 2010
László Benedek|Lóránt Beneshek|1905-03-05 – 1992-03-11
Léa Drucker|Lina Druckling|1972
Léa Seydoux|Lilou Séjour|1985
M. C. Escher|M. C. Eschling|1898-06-17 – 1972
M. Emmet Walsh|M. Elliott Welsh|1935-03-22 – 2024-03-19
M. J. Bassett|J. M. Bassoon|19xx
M. Night Shyamalan|M. Day Shynamala|1970-08-06
M.C. Gainey|C.M. Gainor|1948-01-18
Ma Dong-seok Lee|Mo Dong-yeol Li|1971-03-01
Ma Rainey|Mam Rayning|1886-04-26 – 1939-12-22
Macaulay Culkin|Macauley Caulkind|1980-08-26
Macdonald Carey|Macronald Corlay|1913-03-15 – 1994-03-21
Macha Méril|Mascha Ménard|1940-09-03
Machiko Kyō|Maiko Kōno|1924-03-25 – 2019-05-12
Machiko Washio|Mariko Wakio|1949-06-02
Mackenzie Davis|Mackenna Davids|1987
Mackenzie Foy|Mackenna Floy|2000-11-10
MacKenzie Mauzy|MacKenna Mauzer|1988-10-14
Mackenzie Phillips|Mackenna Philberts|1959-11-10
Maddie Hasson|Maren Hassing|1995-01-04
Maddie Ziegler|Maren Zieglein|2002-09-30
Madeleine Besson|Margaret Bescond|1984-01-28
Madeleine McGraw|Madison MacGrow|2008-12-22
Madeleine Renaud|Madeline Remault|1900-02-21 – 1994-09-23
Madeleine Reynal|Madison Reynmaid|
Madeleine Stolze|Magdalene Stulze|1963
Madeleine Stowe|Madeline Stove|1958-08-18
Madeline Brewer|Madeleine Brauman|1992-05-01
Madeline Carroll|Madeleine Corall|1996-03-18
Madeline Kahn|Madelyne Krahn|1942-09-29 – 1999-12-03
Madelyn Grace|Marilyn Glory|
Madge Bellamy|Mae Bellachy|1899-06-30 – 1990-01-24
Madge Evans|Mae Evers|1909-07-01 – 1981-04-26
Madge Sinclair|Maude Spectron|1938-04-28 – 1995-12-20
Madhur Mittal|Mitul Mathur|1991-02-20
Madina Nalwanga|Malika Nalango|2000-02-02
Madison Iseman|Madeleine Iselin|1997-02-14
Madison Wolfe|Merrilyn Wulfen|2002-10-16
Madolyn Smith Osborne|Marilyn Swift Osbern|1957-01-01
Madonna|Madonara|1958-08-16
Mads Mikkelsen|Mats Michelsen|1965-11-22
Mads Sjøgård Pettersen|Mons Sigurd Petterlund|1984-01-21
Mady Christians|Maren Christophs|1896-01-19 – 1951-10-28
Mady Rahl|Marly Rall|1915-01-03 – 2009-08-29
Mae Busch|Mae Bucht|1891-06-18 – 1946-04-19
Mae Clarke|Mia Clerk|1910-08-16 – 1992-04-29
Mae Marsh|May Morsh|1894-11-09 – 1968-02-13
Mae Whitman|Mae Whitton|1988-06-09
Magali Amadei|Magaly Armandei|1974-11-30
Magali Noël|Magaly Noral|1932-06-27 – 2015-06-23
Magda Schneider|Margot Schnitzler|1909-05-17 – 1996-07-30
Magda Szubanski|Margit Szabunski|1961-04-12
Magdalena Lamparska|Marilena Lachowska|1988-01-06
Maggie Blye|Macy Blyth|1939-10-24 – 2016-03-24
Maggie Cheung|Macy Cheng|1964-09-20
Maggie Grace|Megan Glory|1983-09-21
Maggie Gyllenhaal|Meggie Gallenhyll|1977-11-16
Maggie McOmie|Margie McOnny|1941-12-29
Maggie Q|Marcie Q|1979-05-22
Maggie Siff|Meggie Sniff|1978-06-21
Maggie Smith|Margie Swift|1934-12-28 – 2024-09-27
Magnus Millang|Markus Mellan|1981-07-20
Mahatma Gandhi|Maharaja Ganghi|1869-10-02 – 1948-01-30
Mahershala Ali|Marashan Ale|1974-02-16
Mahiro Maeda|Mahito Maeba|1963-03-14
Mai Zetterling|Mar Zotteling|1925-05-24 – 1994-03-17
Maia Morgenstern|Mira Abendstern|1962-05-01
Maiara Walsh|Marina Welsh|1988-02-18
Maika Monroe|Maira Moonrow|1993-05-29
Maila Nurmi|Moriah Narmi|1921-12-21 – 2008-01-10
Maisie Williams|Mara Wilhelms|1997-04-15
Maja Maranow|Mara Majanoff|1961-03-20 – 2016-01-04
Maja Miloš|Mira Milen|1983-05-16
Majandra Delfino|Maurora Delfani|1981-02-20
Majd Mastoura|Malik Monshura|1991-04-30
Majel Barrett|Mayol Beret|1932-02-23 – 2008-12-18
Mako|Moko|1933-12-10 – 2006-07-21
Makoto Shinkai|Masato Shinkar|1973-02-09
Maksim Shtraukh|Maksim Strykh|1900-02-23 – 1974-01-03
Mal Arnold|Mark Arthur|1933-07-27
Malaya Drew|Malaysa Drow|1978-02-06
Malcolm D. Lee|Melvyn D. Ley|1970-01-11
Malcolm Dixon|Malcom Dixly|19xx – 2020-04-09
Malcolm McDowell|Malcom Madcowbell|1943-06-13
Malcolm X|Malcom XX|1925-05-19 – 1965-02-21
Malik Bentalha|Malek Banalha|1989-03-01
Malik Yoba|Malek Yobe|1967-09-17
Malin Åkerman|Margit Åkerfeldt|1978-05-12
Mallory Bechtel|Marilyn Bechert|1999-11-26
Maluma|Maroma|1994-01-28
Mamie Till|Maimie Tull|1921-11-23 – 2003-01-06
Mamoru Hosoda|Manabu Hosoya|1967-09-19
Mamoru Oshii|Mantarō Ōshima|1951-08-08
Mamoudou Athie|Mansour Athen|1998
Man-kong Tsui Hark|Mun-kong Tsao Hawk|1951-02-01
Man-tat Ng|Mun-tai Ni|1953-01-02 – 2021-02-27
Manal Issa|Mina Isra|1992-03
Mandeep Dhillon|Manira Dhallon|1990-12-21
Mandy Moore|Mindy Muir|1984-04-10
